Name,Link,Costs,Platforms,Categories,Tags,Description
PureRef,https://www.pureref.com/,Free,"Windows, Mac, Linux",Art,Reference Images Viewer,
Kuadro,http://kruelgames.com/tools/kuadro/,Free,"Windows, Mac",Art,Reference Images Viewer,
Texture Exporter,http://www.unorthodoxentertainment.com/texture-exporter/,"Trial, Paid","Windows, Mac",Art,"Texture Exporter, Adobe Photoshop Plug-in",
Adobe Color CC,https://color.adobe.com/create/color-wheel/,Free,Web,Color,Palette Creator,
Colour Lover Photocopa,https://www.colourlovers.com/photocopa,Free,Web,Color,Palette Creator,
Colour Lover Copasco,https://www.colourlovers.com/copaso/ColorPaletteSoftware,Free,Web,Color,Palette Creator,
paletton,http://paletton.com/,Free,Web,Color,Palette Creator,
Google Art & Culture Art Palette,https://artsexperiments.withgoogle.com/artpalette/,Free,Web,Color,Palette Creator,
Coolors,https://coolors.co/,Free,"Windows, Mac, Web, iOS",Color,"Palette Creator, Adobe Photoshop, Adobe Illustrator Plug-in",
Color Supply,https://colorsupplyyy.com/,Free,Web,Color,Palette Creator,
Cohesive Color,https://javier.xyz/cohesive-colors/,Free,Web,Color,Palette Creator,
Color Lisa,http://www.colorlisa.com/,Free,Web,Color,,List of Color Palettes
Colorable,http://jxnblk.com/colorable/,Free,Web,Color,,Color Contrast Tester
Color Cop,http://colorcop.net/,Free,Windows,Color,,Color Sample
Picular,https://picular.co/,Free,Web,Color,,Color Search Engine
Color Oracle,http://colororacle.org/,Free,Web,Color,,Color Blindness Checker
Colour Lover Seamless,http://www.colourlovers.com/seamless,Free,Web,Art,Pattern Maker,
Pattern Cooler,https://www.patterncooler.com/,"Free, Subscription",Web,Art,Pattern Maker,Tiled Patterns
Marmoset viewer,https://marmoset.co/viewer/,Free,"Windows, Mac",Art,,3D Art Viewer
PcPartPicker,https://pcpartpicker.com/,Free,Web,Business,,Build a PC
DS4,http://ds4windows.com/,Free,Windows,Utility,,Dual Shock 4 Controller input
Macro Creator,https://www.macrocreator.com/,Free,Windows,Utility,Automation,Automation Tool for Keystrokes and Mouse movement
AntiMicro,https://github.com/AntiMicro/antimicro,Free,"Windows, Linux",Utility,Gamepad input to Mouse and Keyboard input,
JoyToKey,https://joytokey.net/en/,"Trial, Paid",Windows,Utility,Gamepad input to Mouse and Keyboard input,
Xpadder,https://www.xpadder.com/,Paid,Windows,Utility,Gamepad input to Mouse and Keyboard input,
AirConsole,https://developers.airconsole.com/#!/,Free,"Windows, Mac, Web, iOS, Android",Engineering,Gamepad API,Mobile Controller for Desktop
W3 Gamepad,https://www.w3.org/TR/gamepad/,Free,"Windows, Mac, Linux",Engineering,Gamepad API,Gamepad API for Desktop
Flight Arcade,http://flightarcade.com/learn/gamepad,Free,"Windows, Mac, Linux",Engineering,Gamepad API,Gamepad API for Web
Smartbox,https://github.com/immosmart/smartbox,Free,Linux,Engineering,Gamepad API,Gamepad API for Smart TV
InControl,https://assetstore.unity.com/packages/tools/input-management/incontrol-14695,Paid,"Windows, Mac, Linux",Engineering,Unity Plug-in,Gamepad Mapping Plug-in for Unity
Google Sites,https://sites.google.com/,"Free, Subscription",Web,Website,"Website Maker, Website Hosting",
Squarespace,https://www.squarespace.com/,"Trial, Subscription",Web,Website,"Website Maker, Website Hosting",
Wix,https://www.wix.com/,"Trial, Subscription",Web,Website,"Website Maker, Website Hosting",
Webflow,https://webflow.com/,"Trial, Subscription",Web,Website,"Website Maker, Website Hosting",
Adobe Dreamweaver,https://www.adobe.com/products/dreamweaver.html?promoid=KFOHH&s_cid=70114000002CfGJAA0&s_iid=70114000002ChdJAAS,"Trial, Subscription","Windows, Mac",Website,Website Maker,
Bootstrap Studio,https://bootstrapstudio.io/,Paid,"Windows, Mac, Linux",Website,Website Maker,
RocketCake,https://www.ambiera.com/rocketcake/,"Free, Paid","Windows, Mac",Website,Website Maker,
Adobe XD,https://www.adobe.com/products/xd.html?promoid=85665WNP&mv=other,"Free, Subscription","Windows, Mac",Website,Website Designer,
Namecheckr,https://www.namecheckr.com/,Free,Web,Website,Domain Name Helper,
Name Mesh,https://www.namemesh.com/,Free,Web,Website,Domain Name Helper,
Name Vine,https://namevine.com/,Free,Web,Website,Domain Name Helper,
bitly,https://bitly.com/,Free,Web,"Website, Utility",URL Shortener,
tinyurl,https://tinyurl.com/,Free,Web,"Website, Utility",URL Shortener,
Mailchimp,https://mailchimp.com/,"Free, Subscription",Web,Business,Automation,Email Service
Sendy,https://sendy.co/,Paid,Linux,Business,Automation,Email Tool
presskit(),http://dopresskit.com/,Free,"Windows, Mac, Linux",Website,,Press Page Tool
Keymailer,https://www.keymailer.co/,Free,Web,Business,,Game Key Service
distribute(),https://dodistribute.com/,Free,Web,Business,,Game Key Distribution Tool to Press
Monetize Generator,https://vlambeer.com/toolkit/monetize-generator/,Free,Web,Business,,Monetization Permission Form for content creators
Video Game Generator,http://orteil.dashnet.org/gamegen,Free,Web,Design,Game Idea Generator,
Board Game Design Idea,http://www.boardgamizer.com/,Free,Web,Design,Game Idea Generator,
Video Game Name Generator,https://videogamena.me/,Free,Web,Design,Game Idea Generator,
Make Game,https://stuffbyspencer.itch.io/makegame,Free,Web,Design,Game Idea Generator,
Conception,https://flyingflambe.itch.io/conception,Free,Windows,Design,Game Idea Generator,
Dave's Mapper,http://davesmapper.com/,Free,Web,Design,RPG Map Making Tools,
RPTools Map Tool,http://www.rptools.net/toolbox/maptool/,Free,"Windows, Mac, Linux",Design,RPG Map Making Tools,
Donjon World Generator,http://donjon.bin.sh/world/,Free,Web,Design,RPG Map Making Tools,
Donjon Fantasy World Generator,http://donjon.bin.sh/fantasy/world/,Free,Web,Design,RPG Map Making Tools,
Grid Cartographer,http://gridcartographer.com/,Paid,Web,Design,RPG Map Making Tools,
Medieval Fantasy City Generator,https://watabou.itch.io/medieval-fantasy-city-generator,Free,Web,Design,RPG Map Making Tools,
Fantasy Map Generator,https://github.com/mewo2/terrain,Free,Web,Design,RPG Map Making Tools,
Slide Bean Pitch Deck,https://slidebean.com/pitch-deck-template/,Free,Web,Business,Business Pitch,Pitch Deck Maker
Attach.io Startup Pitch Deck,https://attach.io/startup-pitch-decks/,Free,Web,Business,Business Pitch,Pitch Deck Examples
