Name,Link,Categories,Pricing,Platforms,Tags,Description
Kickstarter,https://www.kickstarter.com/,Crowdfunding,Royalty,Web,All-or-Nothing,"Kickstarter exists to help bring creative projects to life. A home for film, music, art, theater, games, comics, design, photography, and more. Percentage of raised funds goes to Kickstarter and transaction fees."
Indiegogo,https://www.indiegogo.com/,Crowdfunding,Royalty,Web,,"Crowdfund innovations in tech and design before they go mainstream and support entrepreneurs that are working to bring their dreams to life."" Percentage of raised funds goes to Indiegogo and transaction fees."
Fig,https://www.fig.co/,Crowdfunding,Royalty,Web,All-or-Nothing,A publisher where you can get a share of revenue from game sales � we bring together developers and communities from all over the world to publish great games. Percentage of revenue is split among Fig and the investors.
Patreon,https://www.patreon.com/,Crowdfunding,Royalty,Web,,"Patreon is a membership platform that makes it easy for artists and creators to get paid. Join over 200,000+ creators earning salaries from over 4 million monthly patrons. Allows people to support you via subscription."
Buy Me a Coffee,https://www.buymeacoffee.com/,Crowdfunding,Royalty,Web,,Buy Me a Coffee is the best way for creators and artists to accept support and membership from their fans. Allows people to support you via one-time donations and subscriptions.
Ko Fi,https://ko-fi.com/,Crowdfunding,"Free, Subscription",Web,,Get one-time donations and subscriptions from fans. No Fees! Get a Free Ko-fi Page and earn money with a 'buy me a coffee' link.
Steam Early Access,https://store.steampowered.com/earlyaccessfaq/?snr=1_200_200_Early+Access,Crowdfunding,Paid,Web,,
Itch.io Pay What You Want,https://itch.io/docs/creators/pricing#pay-what-you-want-pricing,Crowdfunding,,Web,,
Indie Fund,http://indie-fund.com/,Grant,Royalty,,,All revenue goes to repaying the funds then 25% rev-share until Indie Fund's investment is doubled within two years of your game's release.
Epic Mega Grant,https://www.unrealengine.com/en-US/megagrants,Grant,,,,"Epic Games has committed $100 million to support game developers, enterprise professionals, media and entertainment creators, students, educators, and tool developers doing amazing things with Unreal Engine or enhancing open-source capabilities for the 3D graphics community. Show us your projects and you could earn a financial grant to help fuel your success!"
UK Games Fund,https://ukgamesfund.com/,Grant,,,,UKGF is run by UK Games Talent and Finance Community Interest Company. UKGTF is a non-profit organisation with the remit to support the UK�s early stage games development and digital interactive business and creative ecosystem in terms of both companies and individuals.
Wings,https://wingsfund.me/,Investor,Royalty,,,WINGS invests in indie games made by women and diverse teams. Our investment decisions are driven by a selection committee of outstanding game developers that are representative of the strength and diversity of the industry.
GDBAY Global Games Pitch,https://gdbay.com/global-games-pitch/,Pitch,Paid,,,Opprotunity to pitch game to audience of publishers.
PitchYaGame,https://pitchyagame.com/,Pitch,Free,,,"Twitter hastag to get indie games noticed by publishers, scouts, investors, media, and players."
Play Venture,http://www.playventures.vc/,Investor,,,,
Bitkraft,https://www.bitkraft.net/,Investor,,,,"We provide early- and mid-stage venture capital and expertise for extraordinary founders in gaming, esports, and interactive media."
