Name,Link,Categories,Pricing,Platforms,Tags,Description
Upwork,https://www.upwork.com/,All,,,Freelancers,
Fiverr,https://www.fiverr.com/,All,,,Freelancers,
Bunker,https://bunkervfx.com/,Marketing,,,Game Trailers,
M. Joshua Makes Trailers,http://mjoshua.com/,Marketing,,,Game Trailers,
Gabe Allen,https://vimeo.com/173878248,Marketing,,,Game Trailers,
Cap and Cut,http://capandcut.com/,Marketing,,,Game Trailers,
Adam Marshall,http://www.hiadammarshall.com/,Marketing,,,Game Trailers,
Imagos Films,http://imagosfilms.tumblr.com/tagged/ourwork,Marketing,,,Game Trailers,
Zoic Studios,https://www.zoicstudios.com/,Marketing,,,Game Trailers,Game Trailer Ads
Performante,https://performante.com/,Marketing,,,,Brand building Service
Renaissance PR,https://renaissancepr.co.uk/,Marketing,,,,
Evolve PR,http://www.evolve-pr.com/,Marketing,,,Public Relations Service,
TriplePoint,https://www.triplepointpr.com/,Marketing,,,Public Relations Service,
Indie Wolverine,https://indiewolverine.com/,Marketing,,,Public Relations Service,
Big Machine Games,https://www.biggamesmachine.com/,Marketing,,,Public Relations Service,
Dead Good PR,https://deadgoodpr.com/,Marketing,,,Public Relations Service,
Player Two PR,http://www.playertwopr.com/,Marketing,,,Public Relations Service,"Indie Games PR for PC, Console, and VR games"
Mobilefreetoplay,https://mobilefreetoplay.com/consultancy/,Marketing,,,,Free to Play mobile games
ICO Partners,https://icopartners.com/,"Marketing, Consulting",,,Public Relations Service,
HeyStephenHey,https://heystephenhey.com/,"Marketing, Consulting",,,,
Disobey,https://www.disobey.gg/,Marketing,,,,
Black Shell Media,https://blackshellmedia.com/services/,Marketing,,,,
Game Drive,https://www.game-drive.nl/,Marketing,,,,
NeonHive,https://www.neonhive.co.uk/,Marketing,,,Public Relations Service,
Mothersh1p,https://www.mothersh1p.de/,Marketing,,,,
Unique,https://www.uniqueinfluence.com/,Marketing,,,,
Hound Picked,https://www.houndpicked.com/pr-hound/,Marketing,,,Public Relations Service,
GoPublx,http://www.gamepublx.com/,Marketing,,,Public Relations Service,
NovyUnlimited,https://novypr.com/,Marketing,,,Public Relations Service,
StridePR,http://www.stridepr.com/,Marketing,,,Public Relations Service,
3BLACKDOT,http://3blackdot.com/,Marketing,,,,Influencer Service
Swrve,http://www.swrve.com/,Marketing,,,,Engagement Service
Sherimedia,https://sheri.media/,Marketing,,,,
EtchPlay,https://etchplay.com/,Marketing,,,,
TAKEOFF,https://takeoffstudios.com/,Marketing,,,,
GosuRabbit,https://www.gosurabbit.com/,Marketing,,,,Gaming and Esports
PlayIgnite,https://www.playignite.co.uk/,Marketing,"","",Funding and Services to increase User Acquisition,""
Tilting Point,https://www.tiltingpoint.com/,Marketing,"","",Funding and Services to increase User Acquisition,""
BitCake Studio,https://bitcakestudio.com/,Development,,,,
BlindFlung Studios,https://www.blindflugstudios.com/hire-us/,Development,,,,
Gameanax,https://www.gameanax.com/,Development,,,,
Hollywood Gaming,http://www.hollywoodgaming.com/,Development,,,,
Do Games,https://do-games.com/,Development,,,Porting,
Fire Falcom,https://firefalcom.github.io/website/,Development,,,"Outsourcing, Porting",
Flux Game Studio,https://www.fluxgamestudio.com/services,Development,,,,
Just Funny Games,http://justfunnygames.com/en/services/,Development,,,,
Mogi Group,https://mogi-group.com/,Development,,,,
Orthus Studios,https://orthrusstudios.com/,Development,,,,
PushStart,http://pushstart.com.br/#/agency,Development,,,,
Red Phantom Games,https://www.redphantomgames.com/services,Development,,,,
SetApp,https://setapp.pl/what-we-do#virtual-reality,Development,,,"Mobile, Web, VR",
Simteract,http://simteract.com/,Development,,,,
Studio Evil,https://vr.dsign.it/,Development,,,,
Tag Games,https://www.tag-games.com/,Development,,,,
TagWizz,http://www.tagwizz.com/,Development,,,,
"TakeOff Creative ",http://www.takeoffcreative.com/en/,Development,,,,
TaleSpinners,https://talespinners.co.uk/services/,Writing,,,"Writing, Concepting",
Z Software,https://z-software.net/site/,Development,,,,
302 Interactive,http://www.302interactive.com/services-2,Development,,,,
Room 8 Studios,https://room8studio.com/,Development,,,"Outsourcing, Porting",
Sounding Sweet,https://www.soundingsweet.com/,Audio,,,,
