Name,Link,Costs,Platforms,Categories,Tags,Description
Wordpress,https://wordpress.com/,"Free, Subscription","Web","Website Maker, Website Hosting",,
Google Sites,https://sites.google.com/,"Free, Subscription","Web","Website Maker, Website Hosting",,
Squarespace,https://www.squarespace.com/,"Trial, Subscription","Web","Website Maker, Website Hosting",,
Wix,https://www.wix.com/,"Trial, Subscription","Web","Website Maker, Website Hosting",,
Netlify,https://www.netlify.com/,"Free, Subscription","Web","Website Hosting, Domain Name Registar",,Build Static websites from a Git Repository
Webflow,https://webflow.com/,"Trial, Subscription","Web","Website Maker, Website Hosting, Domain Name Registar",,
Porkbun,https://porkbun.com/,"Subscription","Web","Domain Name Registar, Website Hosting, Email Hosting",,Free Whois Privacy
Namecheap,https://www.namecheap.com/,"Subscription","Web","Domain Name Registar, Website Hosting, Email Hosting",,Free Whois Privacy
Namecheckr,https://www.namecheckr.com/,"Free","Web","Domain Name Helper",,
Name Mesh,https://www.namemesh.com/,"Free","Web","Domain Name Helper",,
Name Vine,https://namevine.com/,"Free","Web","Domain Name Helper",,
Adobe XD,https://www.adobe.com/products/xd.html,"Free, Subscription","Windows, Mac","Website Designer",,
Adobe Dreamweaver,https://www.adobe.com/products/dreamweaver.html,"Trial, Subscription","Windows, Mac","Website Maker",,
RocketCake,https://www.ambiera.com/rocketcake/,"Free, Paid","Windows, Mac","Website Maker",,
Bootstrap Studio,https://bootstrapstudio.io/,"Paid","Windows, Mac, Linux","Website Maker",,
bitly,https://bitly.com/,"Free","Web","Utility",URL Shortener,
tinyurl,https://tinyurl.com/,"Free","Web","Utility",URL Shortener,
